[2026-02-06] research/O-Detune-market-research.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/circuit-modeling-fundamentals.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/cross-platform-webview-best-practices.md: no frontmatter
[2026-02-06] research/custom-fft-implementations.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/delay-effects-comprehensive-guide.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/dsp-click-prevention-debugging.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/fft-artifact-prevention.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/fft-processing-best-practices.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/generative-audio-algorithms-reference.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/generative-plugins-research-synthesis.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/microtonality-commercial-performance.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/microtonality-comprehensive-database.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/microtonality-implementation-juce.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/microtonality-theory-formats.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/modal-synthesis-bells-academic-research.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/multi-stage-decay-envelopes-comparison.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/physical-modeling-commercial-analog-modeling-ml-approaches.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/physical-modeling-research-agent-3-physical-modelling-optimization.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/plugin-development-without-juce.md: no frontmatter
[2026-02-06] research/reverb-comprehensive-research.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/spectral-sequencer-research.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/spectral-toolbox-synopses.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/spectral-transient-shaper-research.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/stutter-effects/path-a-granular-stutter-engine.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/stutter-effects/path-b-beat-repeater.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/stutter-effects/path-c-playhead-modulator.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/stutter-effects/stutter-effects-research-findings.md: missing fields: created, last_verified, juce_version
[2026-02-06] research/webgl-spectrogram-patterns.md: missing fields: created, last_verified, juce_version
