# plugin	O-Bassoon
# params	10
# note	defaultNorm is NORMALISED 0..1; numSteps 2147483647 means continuous
#id	name	label	numSteps	textAtMin	textAtMax	defaultNorm	defaultText	flags
vibrato_rate	Vibrato Rate	 Hz	2147483647	0.00	10.00	0.500000	5.00	automatable
vibrato_depth	Vibrato Depth	 cents	2147483647	0.0	100.0	0.150000	15.0	automatable
vibrato_onset	Vibrato Onset	 ms	2147483647	0	2000	0.200000	400	automatable
breath	Breath		2147483647	0.000	1.000	0.700000	0.700	automatable
tone	Tone		2147483647	0.000	1.000	0.500000	0.500	automatable
attack_character	Attack Character		2147483647	0.000	1.000	0.000000	0.000	automatable
attack_time	Attack Time	 ms	2147483647	0	2000	0.150000	300	automatable
release_time	Release Time	 ms	2147483647	0	3000	0.266667	800	automatable
voice_count	Voice Count		16	1	16	0.466667	8	automatable
output_gain	Output Gain	 dB	2147483647	-24.0	6.0	0.800000	0.0	automatable
