# plugin	O-Bitrot
# uiRoot	Source/ui/public
# generated	2026-08-27T19:07:23.033Z
# NOTE	class is a SUGGESTION WITH A REASON, never a silent drop. Read every UNSURE and every DELETE row.
# source	file	line	selector	attr	class	keyed	suggestedKey	text	reason
html-text	index.html	871	div.wordmark		UNSURE	no	wordmark.o-bitrot	O-BITROT	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	891	#preset-name		UNSURE	no	preset-name	Default	this element DISPLAYS a preset name — exempt under D-02, because the name IS the JSON filename. Confirm it is the name and not a caption beside it
html-text	index.html	896	#preset-save		LABEL	no	preset-save (reuses an existing entry)	Save	prose survives the readout filter
html-text	index.html	897	#preset-load		LABEL	no	preset-load (reuses an existing entry)	Load	prose survives the readout filter
html-text	index.html	899	#preset-delete		LABEL	no	preset-delete (reuses an existing entry)	Delete	prose survives the readout filter
html-text	index.html	902	div.brand		LABEL	no	brand.ouaricon-audio	Ouaricon Audio	prose survives the readout filter
html-text	index.html	903	div.plate		LABEL	no	plate.a-catalogue-of-failing	A Catalogue of Failing Media · Plate XLVII	prose survives the readout filter
html-text	index.html	935	span.settings-label		LABEL	no	lang-select (reuses an existing entry)	Language	prose survives the readout filter
html-text	index.html	941	option		ENDONYM	no	lang-select.english	English	a language name is never translated
html-text	index.html	942	option		ENDONYM	no	lang-select.francais	Français	a language name is never translated
html-text	index.html	960	span.settings-label		LABEL	no	help-toggle (reuses an existing entry)	Hover help	prose survives the readout filter
html-text	index.html	964	#help-toggle		LABEL	no	help-toggle	Off	prose survives the readout filter
html-text	index.html	977	em		LABEL	no	panel-tape.tab-i	Tab. I	prose survives the readout filter
html-text	index.html	977	span.caption		UNSURE	no	panel-tape.tape	— Tape	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	979	button.en.on		LABEL	no	panel-tape.on	On	prose survives the readout filter
html-text	index.html	984	div.ctl-label		LABEL	no	panel-tape.prob	Prob	prose survives the readout filter
html-text	index.html	989	div.ctl-label		LABEL	no	panel-tape.stop	Stop	prose survives the readout filter
html-text	index.html	994	div.ctl-label		LABEL	no	panel-tape.drop	Drop	prose survives the readout filter
html-text	index.html	1001	div.ctl-label		LABEL	no	panel-tape.wow	Wow	prose survives the readout filter
html-text	index.html	1006	div.ctl-label		LABEL	no	TAPE_HISS (reuses an existing entry)	Hiss	prose survives the readout filter
html-text	index.html	1011	div.ctl-label		LABEL	no	panel-tape.ramp	Ramp	prose survives the readout filter
html-text	index.html	1023	em		LABEL	no	panel-cd.tab-ii	Tab. II	prose survives the readout filter
html-text	index.html	1023	span.caption		UNSURE	no	panel-cd.cd-skip	— CD Skip	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	1025	button.en.on		LABEL	no	panel-cd.on	On	prose survives the readout filter
html-text	index.html	1029	div.ctl-label		LABEL	no	panel-cd.prob	Prob	prose survives the readout filter
html-text	index.html	1034	div.ctl-label		LABEL	no	CD_SEVERITY (reuses an existing entry)	Severity	prose survives the readout filter
html-text	index.html	1039	div.ctl-label		LABEL	no	panel-cd.segment	Segment	prose survives the readout filter
html-text	index.html	1050	em		LABEL	no	panel-vinyl.tab-iii	Tab. III	prose survives the readout filter
html-text	index.html	1050	span.caption		UNSURE	no	panel-vinyl.vinyl	— Vinyl	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	1052	button.en.on		LABEL	no	panel-vinyl.on	On	prose survives the readout filter
html-text	index.html	1057	div.ctl-label		LABEL	no	panel-vinyl.prob	Prob	prose survives the readout filter
html-text	index.html	1062	div.ctl-label		LABEL	no	VINYL_RPM (reuses an existing entry)	Speed	prose survives the readout filter
html-text	index.html	1068	div.annot		LABEL	no	panel-vinyl.rev-quantum	rev. quantum	prose survives the readout filter
html-text	index.html	1071	div.ctl-label		LABEL	no	panel-vinyl.pop	Pop	prose survives the readout filter
html-text	index.html	1084	div.ctl-label		LABEL	no	VINYL_WEAR (reuses an existing entry)	Wear	prose survives the readout filter
html-text	index.html	1089	div.ctl-label		LABEL	no	VINYL_WARP (reuses an existing entry)	Warp	prose survives the readout filter
html-text	index.html	1101	em		LABEL	no	panel-packet.tab-iv	Tab. IV	prose survives the readout filter
html-text	index.html	1101	span.caption		UNSURE	no	panel-packet.packet	— Packet	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	1103	button.en		LABEL	no	panel-packet.off	Off	prose survives the readout filter
html-text	index.html	1108	div.ctl-label		LABEL	no	panel-packet.loss	Loss	prose survives the readout filter
html-text	index.html	1113	div.ctl-label		LABEL	no	panel-packet.burst	Burst	prose survives the readout filter
html-text	index.html	1120	div.ctl-label		LABEL	no	panel-packet.conceal	Conceal	prose survives the readout filter
html-text	index.html	1122	option		LABEL	no	panel-packet.silence	Silence	prose survives the readout filter
html-text	index.html	1123	option		LABEL	no	panel-packet.repeat	Repeat	prose survives the readout filter
html-text	index.html	1124	option		LABEL	no	panel-packet.decay	Decay	prose survives the readout filter
html-text	index.html	1125	option		LABEL	no	panel-packet.substitute	Substitute	prose survives the readout filter
html-text	index.html	1127	div.annot		LABEL	no	panel-packet.20-ms-packets	20 ms packets	prose survives the readout filter
html-text	index.html	1130	div.ctl-label		LABEL	no	panel-packet.comfort	Comfort	prose survives the readout filter
html-text	index.html	1142	em		LABEL	no	panel-codec.tab-v	Tab. V	prose survives the readout filter
html-text	index.html	1142	span.caption		UNSURE	no	panel-codec.codec	— Codec	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	1144	button.en		LABEL	no	panel-codec.off	Off	prose survives the readout filter
html-text	index.html	1149	div.ctl-label		LABEL	no	panel-codec.line	Line	prose survives the readout filter
html-text	index.html	1151	button		LABEL	no	panel-codec.law	μ-law	prose survives the readout filter
html-text	index.html	1152	button		LABEL	no	panel-codec.gsm	GSM	prose survives the readout filter
html-text	index.html	1154	div.annot		READOUT	no	panel-codec.300-3400-hz	300–3400 Hz	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	1157	div.ctl-label		LABEL	no	CODEC_MIX (reuses an existing entry)	Blend	prose survives the readout filter
html-text	index.html	1162	div.ctl-label		LABEL	no	CODEC_AGC (reuses an existing entry)	AGC	prose survives the readout filter
html-text	index.html	1169	div.ctl-label		LABEL	no	CODEC_MAINS (reuses an existing entry)	Mains	prose survives the readout filter
html-text	index.html	1171	button		READOUT	no	panel-codec.50-hz	50 Hz	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	1172	button		READOUT	no	panel-codec.60-hz	60 Hz	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	1174	div.annot		LABEL	no	panel-codec.hum-harmonics	hum + harmonics	prose survives the readout filter
html-text	index.html	1177	div.ctl-label		LABEL	no	panel-codec.noise	Noise	prose survives the readout filter
html-text	index.html	1189	em		LABEL	no	panel-crush.tab-vi	Tab. VI	prose survives the readout filter
