# plugin	O-Contrabass
# uiRoot	Source/ui/public
# generated	2026-08-28T01:54:41.035Z
# NOTE	class is a SUGGESTION WITH A REASON, never a silent drop. Read every UNSURE and every DELETE row.
# source	file	line	selector	attr	class	keyed	suggestedKey	text	reason
html-text	index.html	736	text		LABEL	no	ui.physeter-macrocephalus-plate-vii	Physeter macrocephalus — Plate VII	prose survives the readout filter
html-text	index.html	741	span.plugin-name		UNSURE	no	plugin-name.contrabass	Contrabass	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	743	#preset-name		UNSURE	yes	preset-name	Default — Arco Foundation	this element DISPLAYS a preset name — exempt under D-02, because the name IS the JSON filename. Confirm it is the name and not a caption beside it
html-text	index.html	745	#preset-save		LABEL	yes	preset-save	Save	prose survives the readout filter
html-text	index.html	749	button.tab-btn.active		LABEL	yes	tab-btn.main	Main	prose survives the readout filter
html-text	index.html	750	button.tab-btn		LABEL	yes	tab-btn.tuning	Tuning	prose survives the readout filter
html-text	index.html	771	span.brand-label		LABEL	no	brand-label.ouaricon-naturalist-series	Ouaricon · Naturalist Series	prose survives the readout filter
html-text	index.html	782	span		UNSURE	no	tab-main.bow	· Bow	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	782	span.sublabel		LABEL	no	tab-main.arco	arco	prose survives the readout filter
html-text	index.html	786	div.knob-label		LABEL	no	tab-main.speed	Speed	prose survives the readout filter
html-text	index.html	791	div.knob-label		LABEL	no	tab-main.pressure	Pressure	prose survives the readout filter
html-text	index.html	796	div.knob-label		LABEL	no	tab-main.position	Position	prose survives the readout filter
html-text	index.html	803	div.knob-label		LABEL	no	tab-main.rosin	Rosin	prose survives the readout filter
html-text	index.html	808	div.knob-label		LABEL	no	tab-main.noise	Noise	prose survives the readout filter
html-text	index.html	817	div.knob-label		LABEL	no	tab-main.release	Release	prose survives the readout filter
html-text	index.html	825	span		LABEL	no	tab-main.schelleng-diagram	Schelleng Diagram	prose survives the readout filter
html-text	index.html	825	span.sublabel		LABEL	no	tab-main.bow-operating-point	bow operating point	prose survives the readout filter
html-text	index.html	827	div.viz-caption		LABEL	no	tab-main.speed-pressure-log-log	speed × pressure, log–log · wedge shifts with &beta;	prose survives the readout filter
html-text	index.html	832	span.numeral		LABEL	no	tab-main.ii	II	prose survives the readout filter
html-text	index.html	832	span		UNSURE	no	tab-main.body	· Body	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	832	span.sublabel		LABEL	no	tab-main.resonator-8-modes	resonator · 8 modes	prose survives the readout filter
html-text	index.html	836	div.knob-label		LABEL	no	tab-main.size	Size	prose survives the readout filter
html-text	index.html	841	div.knob-label		LABEL	no	tab-main.damping	Damping	prose survives the readout filter
html-text	index.html	846	div.knob-label		LABEL	no	tab-main.mix	Mix	prose survives the readout filter
html-text	index.html	851	div.knob-label		LABEL	no	tab-main.brightness	Brightness	prose survives the readout filter
html-text	index.html	864	span.numeral		LABEL	no	tab-main.iii	III	prose survives the readout filter
html-text	index.html	864	span		UNSURE	no	tab-main.strings	· Strings	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	868	div.knob-label		LABEL	no	tab-main.tension	Tension	prose survives the readout filter
html-text	index.html	873	div.knob-label		LABEL	no	tab-main.stiffness	Stiffness	prose survives the readout filter
html-text	index.html	877	div.stepper-label		LABEL	no	tab-main.active-strings	Active Strings	prose survives the readout filter
html-text	index.html	888	div.finetuner-title		LABEL	yes	tab-main.fine-tuners-cents	Fine Tuners · cents	prose survives the readout filter
html-text	index.html	916	span.numeral		LABEL	no	tab-main.iv	IV	prose survives the readout filter
html-text	index.html	916	span		UNSURE	no	tab-main.expression	· Expression	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
