# plugin	O-Formant
# uiRoot	Source/ui/public
# generated	2026-08-30T02:39:15.737Z
# NOTE	class is a SUGGESTION WITH A REASON, never a silent drop. Read every UNSURE and every DELETE row.
# source	file	line	selector	attr	class	keyed	suggestedKey	text	reason
html-text	index.html	873	h1		LABEL	no	ui.o-formant	O-Formant	prose survives the readout filter
html-text	index.html	874	span		LABEL	no	ui.vocal-synthesizer	vocal synthesizer	prose survives the readout filter
html-text	index.html	879	option		UNSURE	no	preset-category.all	All	this element DISPLAYS a preset name — exempt under D-02, because the name IS the JSON filename. Confirm it is the name and not a caption beside it
html-text	index.html	882	#preset-name		UNSURE	no	preset-name	Default	this element DISPLAYS a preset name — exempt under D-02, because the name IS the JSON filename. Confirm it is the name and not a caption beside it
html-text	index.html	884	#preset-save		LABEL	no	preset-save	Save	prose survives the readout filter
html-text	index.html	888	div.tab.active		LABEL	no	tab.synth	Synth	prose survives the readout filter
html-text	index.html	889	div.tab		LABEL	no	tab.lyrics	Lyrics	prose survives the readout filter
html-text	index.html	890	div.tab		LABEL	no	tab.tuning	Tuning	prose survives the readout filter
html-text	index.html	891	div.tab		LABEL	no	tab.effects	Effects	prose survives the readout filter
html-text	index.html	897	h2		LABEL	no	synth-tab.vowel-morph	Vowel Morph	prose survives the readout filter
html-text	index.html	905	h3		LABEL	no	synth-tab.glottal-source	Glottal Source	prose survives the readout filter
html-text	index.html	909	div.knob-label		LABEL	no	synth-tab.voice-q	Voice Q	prose survives the readout filter
html-text	index.html	914	div.knob-label		LABEL	no	synth-tab.breath	Breath	prose survives the readout filter
html-text	index.html	919	div.knob-label		LABEL	no	synth-tab.vib-rate	Vib Rate	prose survives the readout filter
html-text	index.html	920	div.knob-value		READOUT	no	synth-tab.5-5-hz	5.5 Hz	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	924	div.knob-label		LABEL	no	synth-tab.vib-depth	Vib Depth	prose survives the readout filter
html-text	index.html	925	div.knob-value		READOUT	no	synth-tab.15-ct	15 ct	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	929	div.knob-label		LABEL	no	synth-tab.vib-delay	Vib Delay	prose survives the readout filter
html-text	index.html	930	div.knob-value		READOUT	no	synth-tab.300-ms	300 ms	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	934	div.knob-label		LABEL	no	synth-tab.jitter	Jitter	prose survives the readout filter
html-text	index.html	939	div.knob-label		LABEL	no	synth-tab.shimmer	Shimmer	prose survives the readout filter
html-text	index.html	944	div.knob-label		LABEL	no	synth-tab.rd-mod	Rd Mod	prose survives the readout filter
html-text	index.html	949	div.knob-label		LABEL	no	synth-tab.tilt	Tilt	prose survives the readout filter
html-text	index.html	950	div.knob-value		READOUT	no	synth-tab.0-0-db	0.0 dB	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	956	h3		LABEL	no	synth-tab.consonant	Consonant	prose survives the readout filter
html-text	index.html	961	div.knob-label		LABEL	no	synth-tab.level	Level	prose survives the readout filter
html-text	index.html	966	div.knob-label		LABEL	no	synth-tab.voicing	Voicing	prose survives the readout filter
html-text	index.html	971	div.toggle-label		LABEL	no	synth-tab.auto	Auto	prose survives the readout filter
html-text	index.html	977	span.cxy-label.cxy-left		LABEL	no	synth-tab.lab	Lab	prose survives the readout filter
html-text	index.html	978	span.cxy-label.cxy-mid-left		LABEL	no	synth-tab.alv	Alv	prose survives the readout filter
html-text	index.html	979	span.cxy-label.cxy-mid-right		LABEL	no	synth-tab.pal	Pal	prose survives the readout filter
html-text	index.html	980	span.cxy-label.cxy-right		LABEL	no	synth-tab.vel	Vel	prose survives the readout filter
html-text	index.html	981	span.cxy-label.cxy-top		LABEL	no	synth-tab.fric	Fric	prose survives the readout filter
html-text	index.html	982	span.cxy-label.cxy-bottom		LABEL	no	synth-tab.plos	Plos	prose survives the readout filter
html-text	index.html	988	div.knob-label		LABEL	no	consonant-env-controls.atk	Atk	prose survives the readout filter
html-text	index.html	989	div.knob-value		READOUT	no	consonant-env-controls.20-ms	20 ms	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	993	div.knob-label		LABEL	no	consonant-env-controls.hold	Hold	prose survives the readout filter
html-text	index.html	994	div.knob-value		READOUT	no	consonant-env-controls.30-ms	30 ms	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	998	div.knob-label		LABEL	no	consonant-env-controls.decay	Decay	prose survives the readout filter
html-text	index.html	999	div.knob-value		READOUT	no	consonant-env-controls.40-ms	40 ms	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	1003	div.knob-label		LABEL	no	consonant-env-controls.trans	Trans	prose survives the readout filter
html-text	index.html	1011	h3		LABEL	no	synth-tab.character	Character	prose survives the readout filter
html-text	index.html	1013	span.segmented-label		LABEL	no	synth-tab.topology	Topology	prose survives the readout filter
html-text	index.html	1015	button.segmented-btn.active		LABEL	no	topology-control.cascade	Cascade	prose survives the readout filter
html-text	index.html	1016	button.segmented-btn		LABEL	no	topology-control.parallel	Parallel	prose survives the readout filter
html-text	index.html	1017	button.segmented-btn		LABEL	no	topology-control.hybrid	Hybrid	prose survives the readout filter
html-text	index.html	1023	div.knob-label		LABEL	no	synth-tab.shift	Shift	prose survives the readout filter
html-text	index.html	1024	div.knob-value		READOUT	no	synth-tab.0-st	0 st	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	1028	div.knob-label		LABEL	no	synth-tab.spread	Spread	prose survives the readout filter
html-text	index.html	1033	div.knob-label		LABEL	no	synth-tab.glide	Glide	prose survives the readout filter
html-text	index.html	1034	div.knob-value		READOUT	no	synth-tab.0-ms	0 ms	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	1038	div.knob-label		LABEL	no	synth-tab.transition	Transition	prose survives the readout filter
html-text	index.html	1043	div.knob-label		LABEL	no	synth-tab.focus	Focus	prose survives the readout filter
html-text	index.html	1048	div.knob-label		LABEL	no	synth-tab.singer-s-f	Singer's F	prose survives the readout filter
html-text	index.html	1053	div.knob-label		LABEL	no	synth-tab.nasality	Nasality	prose survives the readout filter
html-text	index.html	1058	div.knob-label		LABEL	no	synth-tab.nasal-place	Nasal Place	prose survives the readout filter
html-text	index.html	1069	h3		LABEL	no	synth-tab.envelope	Envelope	prose survives the readout filter
html-text	index.html	1073	div.knob-label		LABEL	no	synth-tab.attack	Attack	prose survives the readout filter
html-text	index.html	1074	div.knob-value		READOUT	no	synth-tab.10-ms	10 ms	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	1078	div.knob-label		LABEL	no	synth-tab.decay	Decay	prose survives the readout filter
html-text	index.html	1079	div.knob-value		READOUT	no	synth-tab.300-ms-2	300 ms	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	1083	div.knob-label		LABEL	no	synth-tab.sustain	Sustain	prose survives the readout filter
