# plugin	O-Formant
# params	64
# note	defaultNorm is NORMALISED 0..1; numSteps 2147483647 means continuous
#id	name	label	numSteps	textAtMin	textAtMax	defaultNorm	defaultText	flags
vowelX	Vowel X		2147483647	0.0000000	1.0000000	0.500000	0.5000000	automatable
vowelY	Vowel Y		2147483647	0.0000000	1.0000000	0.500000	0.5000000	automatable
vowelFocus	Vowel Focus		2147483647	1.0000000	6.0000000	0.300000	2.5000000	automatable
glottalRd	Voice Quality		2147483647	0.3000000	2.7000000	0.291667	1.0000000	automatable
breathiness	Breathiness		2147483647	0.0000000	1.0000000	0.100000	0.1000000	automatable
vibratoRate	Vibrato Rate	Hz	2147483647	0.5000000	12.0000000	0.434783	5.5000000	automatable
vibratoDepth	Vibrato Depth	cents	2147483647	0.0000000	100.0000000	0.150000	15.0000010	automatable
vibratoDelay	Vibrato Delay	ms	2147483647	0.0000000	2000.0000000	0.468205	299.9999695	automatable
jitter	Jitter		2147483647	0.0000000	1.0000000	0.150000	0.1500000	automatable
shimmer	Shimmer		2147483647	0.0000000	1.0000000	0.100000	0.1000000	automatable
rdModDepth	Rd Mod Depth		2147483647	0.0000000	1.0000000	0.500000	0.5000000	automatable
spectralTilt	Spectral Tilt	dB	2147483647	-12.0000000	12.0000000	0.500000	0.0000000	automatable
consonantLevel	Consonant Level		2147483647	0.0000000	2.0000000	0.150000	0.3000000	automatable
consonantTone	Place		2147483647	0.0000000	1.0000000	0.500000	0.5000000	automatable
sibilance	Manner		2147483647	0.0000000	1.0000000	0.500000	0.5000000	automatable
consonantVoicing	Voicing		2147483647	0.0000000	1.0000000	0.500000	0.5000000	automatable
autoConsonant	Auto Consonant		2	Off	On	0.000000	Off	automatable,discrete,boolean
consonantAttack	Cons Attack	ms	2147483647	1.0	100.0	0.438086	20.0	automatable
consonantHold	Cons Hold	ms	2147483647	0.0	200.0	0.150000	30.0	automatable
consonantDecay	Cons Decay	ms	2147483647	5.0	200.0	0.423659	40.0	automatable
consonantVOT	VOT		2147483647	0.0000000	1.0000000	0.500000	0.5000000	automatable
consonantTransition	Transition		2147483647	0.0000000	1.0000000	0.500000	0.5000000	automatable
attack	Attack	s	2147483647	0.0010000	5.0000000	0.150179	0.0100000	automatable
decay	Decay	s	2147483647	0.0010000	5.0000000	0.429572	0.3000000	automatable
sustain	Sustain		2147483647	0.0000000	1.0000000	0.800000	0.8000000	automatable
release	Release	s	2147483647	0.0010000	10.0000000	0.406858	0.4999999	automatable
formantTopology	Formant Topology		3	Cascade	Hybrid	0.000000	Cascade	automatable,discrete
formantShift	Formant Shift	st	2147483647	-24.0000000	24.0000000	0.500000	0.0000000	automatable
formantSpread	Formant Spread		2147483647	0.5000000	2.0000000	0.333333	1.0000000	automatable
pitchGlide	Pitch Glide	ms	2147483647	0.0000000	1000.0000000	0.000000	0.0000000	automatable
