# plugin	O-GrainScatter
# uiRoot	Source/ui/public
# generated	2026-08-29T18:30:55.474Z
# NOTE	class is a SUGGESTION WITH A REASON, never a silent drop. Read every UNSURE and every DELETE row.
# source	file	line	selector	attr	class	keyed	suggestedKey	text	reason
html-text	index.html	464	h1		LABEL	no	ui.o-grainscatter	O-GrainScatter	prose survives the readout filter
html-text	index.html	465	span.tagline		LABEL	yes	tagline.harmonic-stutter-engine	Harmonic Stutter Engine	prose survives the readout filter
html-text	index.html	479	span.settings-label		LABEL	yes	settings-popover.language	Language	prose survives the readout filter
html-text	index.html	484	option		ENDONYM	no	lang-select.english	English	a language name is never translated
html-text	index.html	485	option		ENDONYM	no	lang-select.francais	Français	a language name is never translated
html-text	index.html	494	span.viz-label		LABEL	yes	viz-label.grain-scatter	Grain Scatter	prose survives the readout filter
html-text	index.html	498	span.viz-label		LABEL	yes	viz-label.euclidean	Euclidean	prose survives the readout filter
html-text	index.html	505	button.toggle.freeze-toggle		LABEL	yes	toggle.freeze	Freeze	prose survives the readout filter
html-text	index.html	514	div.group-label		LABEL	yes	group-label.core-engine	Core Engine	prose survives the readout filter
html-text	index.html	517	span.knob-name		LABEL	yes	knob-name.grain-size	Grain Size	prose survives the readout filter
html-text	index.html	519	span.knob-value		READOUT	no	knob-value.100-ms	100 ms	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
html-text	index.html	522	span.knob-name		LABEL	yes	knob-name.density	Density	prose survives the readout filter
html-text	index.html	527	span.knob-name		LABEL	yes	knob-name.scan	Scan	prose survives the readout filter
html-text	index.html	532	span.knob-name		LABEL	yes	knob-name.spread	Spread	prose survives the readout filter
html-text	index.html	537	span.knob-name		LABEL	yes	knob-name.reverse	Reverse	prose survives the readout filter
html-text	index.html	542	span.knob-name		LABEL	yes	knob-name.feedback	Feedback	prose survives the readout filter
html-text	index.html	547	span.knob-name		LABEL	yes	knob-name.dry-wet	Dry/Wet	prose survives the readout filter
html-text	index.html	552	span.knob-name		LABEL	yes	knob-name.size-rnd	Size Rnd	prose survives the readout filter
html-text	index.html	557	span.knob-name		LABEL	yes	knob-name.amp-rnd	Amp Rnd	prose survives the readout filter
html-text	index.html	562	span.dropdown-name		LABEL	yes	dropdown-name.shape	Shape	prose survives the readout filter
html-text	index.html	564	option		LABEL	no	ui.hann	Hann	prose survives the readout filter
html-text	index.html	565	option		LABEL	no	ui.triangle	Triangle	prose survives the readout filter
html-text	index.html	566	option		LABEL	no	ui.trapezoid	Trapezoid	prose survives the readout filter
html-text	index.html	567	option		LABEL	no	ui.tukey	Tukey	prose survives the readout filter
html-text	index.html	568	option		LABEL	no	ui.blackman	Blackman	prose survives the readout filter
html-text	index.html	569	option		LABEL	no	ui.exp-decay	Exp Decay	prose survives the readout filter
html-text	index.html	577	div.group-label		LABEL	yes	group-label.pitch-scale	Pitch & Scale	prose survives the readout filter
