# plugin	O-Lyrica
# uiRoot	Resources/ui
# generated	2026-08-28T20:46:10.623Z
# NOTE	class is a SUGGESTION WITH A REASON, never a silent drop. Read every UNSURE and every DELETE row.
# source	file	line	selector	attr	class	keyed	suggestedKey	text	reason
html-text	index.html	1778	span.title		LABEL	no	title.ouaricon-lyrica	Ouaricon Lyrica	prose survives the readout filter
html-text	index.html	1783	#preset-name-display		UNSURE	no	preset-name-display	Default	this element DISPLAYS a preset name — exempt under D-02, because the name IS the JSON filename. Confirm it is the name and not a caption beside it
html-text	index.html	1787	#preset-save		LABEL	no	preset-save	Save	prose survives the readout filter
html-text	index.html	1788	#preset-load		LABEL	no	preset-load	Load	prose survives the readout filter
html-text	index.html	1790	span.voice-display		UNSURE	no	voice-display.voices	Voices:	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	1795	#tab-sound		LABEL	no	tab-sound	SOUND	prose survives the readout filter
html-text	index.html	1796	#tab-techniques		LABEL	no	tab-techniques	TECHNIQUES	prose survives the readout filter
html-text	index.html	1797	#tab-tuning		LABEL	no	tab-tuning	TUNING	prose survives the readout filter
html-text	index.html	1798	#tab-effects		LABEL	no	tab-effects	EFFECTS	prose survives the readout filter
html-text	index.html	1807	div.section-header		LABEL	no	sound-tab.main	Main	prose survives the readout filter
html-text	index.html	1810	span.slider-label		LABEL	no	sound-tab.brightness	Brightness	prose survives the readout filter
html-text	index.html	1817	span.slider-label		LABEL	no	sound-tab.timbre	Timbre	prose survives the readout filter
html-text	index.html	1824	span.slider-label		LABEL	no	sound-tab.decay-time	Decay Time	prose survives the readout filter
html-text	index.html	1831	span.slider-label		LABEL	no	sound-tab.attack-noise	Attack Noise	prose survives the readout filter
html-text	index.html	1838	span.slider-label		LABEL	no	sound-tab.humanize	Humanize	prose survives the readout filter
html-text	index.html	1849	div.section-header		LABEL	no	sound-tab.string	String	prose survives the readout filter
html-text	index.html	1852	span.dropdown-label		LABEL	no	sound-tab.material	Material	prose survives the readout filter
html-text	index.html	1854	option		LABEL	no	stringmaterial.gut	Gut	prose survives the readout filter
html-text	index.html	1855	option		LABEL	no	stringmaterial.nylon	Nylon	prose survives the readout filter
html-text	index.html	1856	option		LABEL	no	stringmaterial.wire	Wire	prose survives the readout filter
html-text	index.html	1857	option		LABEL	no	stringmaterial.carbon	Carbon	prose survives the readout filter
html-text	index.html	1858	option		LABEL	no	stringmaterial.metal-alloy	Metal Alloy	prose survives the readout filter
html-text	index.html	1859	option		LABEL	no	stringmaterial.glass	Glass	prose survives the readout filter
html-text	index.html	1860	option		LABEL	no	stringmaterial.crystal	Crystal	prose survives the readout filter
html-text	index.html	1861	option		LABEL	no	stringmaterial.energy	Energy	prose survives the readout filter
html-text	index.html	1865	span.slider-label		LABEL	no	sound-tab.tension	Tension	prose survives the readout filter
html-text	index.html	1872	span.slider-label		LABEL	no	sound-tab.gauge	Gauge	prose survives the readout filter
html-text	index.html	1879	span.slider-label		LABEL	no	sound-tab.length	Length	prose survives the readout filter
html-text	index.html	1886	span.slider-label		LABEL	no	sound-tab.stiffness	Stiffness	prose survives the readout filter
html-text	index.html	1897	div.section-header		LABEL	no	sound-tab.body	Body	prose survives the readout filter
html-text	index.html	1900	span.slider-label		LABEL	no	sound-tab.size	Size	prose survives the readout filter
html-text	index.html	1907	span.slider-label		LABEL	no	sound-tab.resonance	Resonance	prose survives the readout filter
html-text	index.html	1914	span.dropdown-label		LABEL	no	sound-tab.wood-type	Wood Type	prose survives the readout filter
html-text	index.html	1916	option		LABEL	no	woodtype.spruce	Spruce	prose survives the readout filter
html-text	index.html	1917	option		LABEL	no	woodtype.maple	Maple	prose survives the readout filter
html-text	index.html	1918	option		LABEL	no	woodtype.exotic	Exotic	prose survives the readout filter
html-text	index.html	1919	option		LABEL	no	woodtype.synthetic	Synthetic	prose survives the readout filter
