# plugin	O-MicrotonalSampler
# uiRoot	Resources/ui
# generated	2026-08-30T05:56:25.021Z
# NOTE	class is a SUGGESTION WITH A REASON, never a silent drop. Read every UNSURE and every DELETE row.
# source	file	line	selector	attr	class	keyed	suggestedKey	text	reason
html-text	index.html	53	h1		LABEL	no	header.o-microtonalsampler	O-MicrotonalSampler	prose survives the readout filter
html-text	index.html	57	button.tab-btn.active		LABEL	no	tab-strip.sample-map	Sample Map	prose survives the readout filter
html-text	index.html	58	button.tab-btn		LABEL	no	tab-strip.tuning	Tuning	prose survives the readout filter
html-text	index.html	59	button.tab-btn		LABEL	no	tab-strip.about	About	prose survives the readout filter
html-text	index.html	65	#save-preset-btn		LABEL	no	save-preset-btn	Save Preset…	prose survives the readout filter
html-text	index.html	67	#load-preset-btn		LABEL	no	load-preset-btn	Load Preset…	prose survives the readout filter
html-text	index.html	77	span.drop-zone-text		LABEL	no	folder-drop-zone.drop-folder-here	Drop folder here	prose survives the readout filter
html-text	index.html	79	span.drop-zone-or		LABEL	no	folder-drop-zone.or	or	prose survives the readout filter
html-text	index.html	81	#load-folder-btn		LABEL	no	load-folder-btn	Load Folder…	prose survives the readout filter
html-text	index.html	83	#batch-loop-btn		LABEL	no	batch-loop-btn	Batch loop…	prose survives the readout filter
html-text	index.html	85	#clear-samples-btn		LABEL	no	clear-samples-btn	Clear samples	prose survives the readout filter
html-text	index.html	98	label		LABEL	no	technique-preset-row.technique-preset	Technique preset	prose survives the readout filter
html-text	index.html	101	option		UNSURE	no	technique-preset-select.choose-family	Choose family…	this element DISPLAYS a preset name — exempt under D-02, because the name IS the JSON filename. Confirm it is the name and not a caption beside it
html-text	index.html	102	option		UNSURE	no	technique-preset-select.strings	Strings	this element DISPLAYS a preset name — exempt under D-02, because the name IS the JSON filename. Confirm it is the name and not a caption beside it
html-text	index.html	103	option		UNSURE	no	technique-preset-select.winds	Winds	this element DISPLAYS a preset name — exempt under D-02, because the name IS the JSON filename. Confirm it is the name and not a caption beside it
html-text	index.html	104	option		UNSURE	no	technique-preset-select.brass	Brass	this element DISPLAYS a preset name — exempt under D-02, because the name IS the JSON filename. Confirm it is the name and not a caption beside it
html-text	index.html	105	option		UNSURE	no	technique-preset-select.generic	Generic	this element DISPLAYS a preset name — exempt under D-02, because the name IS the JSON filename. Confirm it is the name and not a caption beside it
html-text	index.html	120	span		LABEL	no	technique-ks-controls.ks	KS	prose survives the readout filter
html-text	index.html	123	label.ks-range-label		UNSURE	no	technique-ks-controls.low	low	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	127	label.ks-range-label		UNSURE	no	technique-ks-controls.high	high	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	141	span		LABEL	no	trigger-panel.triggers-cc-pc	Triggers (CC + PC)	prose survives the readout filter
html-text	index.html	143	#trigger-precedence-indicator		LABEL	no	trigger-precedence-indicator	KS > CC > PC > history	prose survives the readout filter
html-text	index.html	150	#cc-trigger-heading		LABEL	no	cc-trigger-heading	CC trigger	prose survives the readout filter
html-text	index.html	152	label.trigger-cc-number-label		UNSURE	no	trigger-panel.cc	CC#	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	156	span.trigger-hint		LABEL	no	trigger-panel.value-0-127-technique	value 0–127 → technique slot	prose survives the readout filter
html-text	index.html	161	th		LABEL	no	cc-trigger-table.slot	slot	prose survives the readout filter
html-text	index.html	162	th		LABEL	no	cc-trigger-table.low	low	prose survives the readout filter
