# plugin	O-Octagon
# uiRoot	Source/ui/public
# generated	2026-08-27T22:00:31.444Z
# NOTE	class is a SUGGESTION WITH A REASON, never a silent drop. Read every UNSURE and every DELETE row.
# source	file	line	selector	attr	class	keyed	suggestedKey	text	reason
html-text	index.html	70	h1.title		UNSURE	no	title.o-octa	O – Octa	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	70	span.title-accent		LABEL	no	title-accent.gon	gon	prose survives the readout filter
html-text	index.html	71	p.subtitle		LABEL	no	subtitle.eight-channel-dbap	Eight · Channel DBAP	prose survives the readout filter
html-text	index.html	75	#tab-room		LABEL	no	tab-room (reuses an existing entry)	Room	prose survives the readout filter
html-text	index.html	77	#tab-venue		LABEL	no	tab-venue (reuses an existing entry)	Venue	prose survives the readout filter
html-text	index.html	111	span.cell-label		LABEL	no	lang-select (reuses an existing entry)	Language	prose survives the readout filter
html-text	index.html	117	option		ENDONYM	no	lang-select.english	English	a language name is never translated
html-text	index.html	118	option		ENDONYM	no	lang-select.francais	Français	a language name is never translated
html-text	index.html	132	span.cell-label		LABEL	no	tips-toggle (reuses an existing entry)	Hover help	prose survives the readout filter
html-text	index.html	140	#btn-tips-on		LABEL	no	btn-tips-on	On	prose survives the readout filter
html-text	index.html	142	#btn-tips-off		LABEL	no	btn-tips-off	Off	prose survives the readout filter
html-text	index.html	153	span.safe-tag		LABEL	no	safe-banner.safe	SAFE	prose survives the readout filter
html-text	index.html	154	span.safe-copy		LABEL	no	safe-banner.stereo-fold-not-the	Stereo fold — not the 8 · channel rig	prose survives the readout filter
html-text	index.html	170	span.map-tag		LABEL	no	map-banner.map	MAP	prose survives the readout filter
html-text	index.html	196	span.monitor-tag		LABEL	no	monitor-banner.monitor	MONITOR	prose survives the readout filter
html-text	index.html	197	#monitor-copy		LABEL	no	monitor-copy	Headphone fold — rig outputs muted	prose survives the readout filter
html-text	index.html	297	span.caption-key		LABEL	no	out-pop.speaker	Speaker	prose survives the readout filter
html-text	index.html	299	span.caption-key		LABEL	no	out-pop.output	→ output	prose survives the readout filter
