# plugin	O-Orbit
# uiRoot	Resources/ui
# generated	2026-08-28T03:25:09.581Z
# NOTE	class is a SUGGESTION WITH A REASON, never a silent drop. Read every UNSURE and every DELETE row.
# source	file	line	selector	attr	class	keyed	suggestedKey	text	reason
html-text	index.html	37	h1		LABEL	no	header.o-orbit	O-Orbit	prose survives the readout filter
html-text	index.html	53	#preset-name		UNSURE	no	preset-name	Default	this element DISPLAYS a preset name — exempt under D-02, because the name IS the JSON filename. Confirm it is the name and not a caption beside it
html-text	index.html	58	#preset-save		LABEL	yes	preset-save	Save	prose survives the readout filter
html-text	index.html	59	#preset-load		LABEL	yes	preset-load	Load	prose survives the readout filter
html-text	index.html	61	#preset-delete		LABEL	yes	preset-delete	Del	prose survives the readout filter
html-text	index.html	73	#view-toggle		LABEL	yes	view-toggle	Motion View	prose survives the readout filter
html-text	index.html	84	button.preset-btn		LABEL	no	preset-buttons.stereo	Stereo	prose survives the readout filter
html-text	index.html	85	button.preset-btn		LABEL	no	preset-buttons.quad	Quad	prose survives the readout filter
html-text	index.html	90	button.preset-btn		LABEL	no	preset-buttons.hex	Hex	prose survives the readout filter
html-text	index.html	91	button.preset-btn		LABEL	no	preset-buttons.oct	Oct	prose survives the readout filter
html-text	index.html	96	option		LABEL	no	layout-select.layouts	Layouts…	prose survives the readout filter
html-text	index.html	100	#layout-save-btn		LABEL	yes	layout-save-btn	Save	prose survives the readout filter
html-text	index.html	102	#layout-delete-btn		LABEL	yes	layout-delete-btn	Del	prose survives the readout filter
html-text	index.html	105	#export-btn		LABEL	yes	export-btn	Export	prose survives the readout filter
html-text	index.html	106	#import-btn		LABEL	yes	import-btn	Import	prose survives the readout filter
html-text	index.html	115	h2.group-label		LABEL	no	motion-group.motion	Motion	prose survives the readout filter
html-text	index.html	119	label		LABEL	no	motion-group.path	Path	prose survives the readout filter
html-text	index.html	121	option		LABEL	no	path.orbit	Orbit	prose survives the readout filter
