# plugin	O-Prism
# uiRoot	Source/ui/public
# generated	2026-08-30T20:55:40.643Z
# NOTE	class is a SUGGESTION WITH A REASON, never a silent drop. Read every UNSURE and every DELETE row.
# source	file	line	selector	attr	class	keyed	suggestedKey	text	reason
html-text	index.html	968	h1		LABEL	no	ui.o-prism	O-PRISM	prose survives the readout filter
html-text	index.html	974	#preset-current-name		UNSURE	no	preset-current-name	— Init —	this element DISPLAYS a preset name — exempt under D-02, because the name IS the JSON filename. Confirm it is the name and not a caption beside it
html-text	index.html	980	span.subtitle		LABEL	no	subtitle.microtonal-wavetable-synthesizer	Microtonal Wavetable Synthesizer	prose survives the readout filter
html-text	index.html	990	div.tab.active		LABEL	no	tab.synth	Synth	prose survives the readout filter
html-text	index.html	991	div.tab		LABEL	no	tab.mod	Mod	prose survives the readout filter
html-text	index.html	992	div.tab		LABEL	no	tab.tuning	Tuning	prose survives the readout filter
html-text	index.html	993	div.tab		LABEL	no	tab.effects	Effects	prose survives the readout filter
html-text	index.html	994	div.tab		LABEL	no	tab.wavetable	Wavetable	prose survives the readout filter
html-text	index.html	1006	div.section-header		LABEL	no	synth-tab.oscillator-a	Oscillator A	prose survives the readout filter
html-text	index.html	1010	div.wt-drop-overlay		LABEL	no	canvaswrapa.drop-wav	Drop WAV	prose survives the readout filter
html-text	index.html	1014	span.dropdown-label		LABEL	no	synth-tab.shape	Shape	prose survives the readout filter
html-text	index.html	1017	option		LABEL	no	select-oscatable.saw	Saw	prose survives the readout filter
html-text	index.html	1017	option		LABEL	no	select-oscatable.square	Square	prose survives the readout filter
html-text	index.html	1017	option		LABEL	no	select-oscatable.triangle	Triangle	prose survives the readout filter
html-text	index.html	1017	option		LABEL	no	select-oscatable.sine	Sine	prose survives the readout filter
html-text	index.html	1018	option		LABEL	no	select-oscatable.pwm-sweep	PWM Sweep	prose survives the readout filter
html-text	index.html	1018	option		LABEL	no	select-oscatable.supersaw	Supersaw	prose survives the readout filter
html-text	index.html	1018	option		LABEL	no	select-oscatable.sync-sweep	Sync Sweep	prose survives the readout filter
html-text	index.html	1021	option		LABEL	no	select-oscatable.fm-e-piano	FM E.Piano	prose survives the readout filter
html-text	index.html	1021	option		LABEL	no	select-oscatable.fm-bell	FM Bell	prose survives the readout filter
html-text	index.html	1021	option		LABEL	no	select-oscatable.fm-metallic	FM Metallic	prose survives the readout filter
html-text	index.html	1022	option		LABEL	no	select-oscatable.wavefold	Wavefold	prose survives the readout filter
html-text	index.html	1022	option		LABEL	no	select-oscatable.bitcrush	Bitcrush	prose survives the readout filter
html-text	index.html	1025	option		LABEL	no	select-oscatable.vowel-morph	Vowel Morph	prose survives the readout filter
html-text	index.html	1025	option		LABEL	no	select-oscatable.choir-pad	Choir Pad	prose survives the readout filter
html-text	index.html	1026	option		LABEL	no	select-oscatable.vocal-lead	Vocal Lead	prose survives the readout filter
html-text	index.html	1026	option		LABEL	no	select-oscatable.formant-filter	Formant Filter	prose survives the readout filter
html-text	index.html	1029	option		LABEL	no	select-oscatable.harmonic-series	Harmonic Series	prose survives the readout filter
html-text	index.html	1029	option		LABEL	no	select-oscatable.spectral-tilt	Spectral Tilt	prose survives the readout filter
html-text	index.html	1030	option		LABEL	no	select-oscatable.odd-harmonics	Odd Harmonics	prose survives the readout filter
html-text	index.html	1030	option		LABEL	no	select-oscatable.harmonic-stretch	Harmonic Stretch	prose survives the readout filter
html-text	index.html	1031	option		LABEL	no	select-oscatable.comb-sweep	Comb Sweep	prose survives the readout filter
html-text	index.html	1031	option		LABEL	no	select-oscatable.prism-spectrum	Prism Spectrum	prose survives the readout filter
html-text	index.html	1034	option		LABEL	no	select-oscatable.breath	Breath	prose survives the readout filter
html-text	index.html	1034	option		LABEL	no	select-oscatable.plucked-string	Plucked String	prose survives the readout filter
html-text	index.html	1035	option		LABEL	no	select-oscatable.church-bell	Church Bell	prose survives the readout filter
html-text	index.html	1035	option		LABEL	no	select-oscatable.organ-sweep	Organ Sweep	prose survives the readout filter
html-text	index.html	1036	option		LABEL	no	select-oscatable.wind	Wind	prose survives the readout filter
html-text	index.html	1036	option		LABEL	no	select-oscatable.filtered-noise	Filtered Noise	prose survives the readout filter
html-text	index.html	1050	span.dropdown-label		LABEL	no	synth-tab.warp	Warp	prose survives the readout filter
html-text	index.html	1052	option		LABEL	no	select-oscawarptype.off	Off	prose survives the readout filter
html-text	index.html	1052	option		LABEL	no	select-oscawarptype.sync	Sync	prose survives the readout filter
html-text	index.html	1052	option		LABEL	no	select-oscawarptype.bend	Bend	prose survives the readout filter
html-text	index.html	1052	option		LABEL	no	select-oscawarptype.fm	FM	prose survives the readout filter
html-text	index.html	1052	option		LABEL	no	select-oscawarptype.window	Window	prose survives the readout filter
html-text	index.html	1060	div.section-header		LABEL	no	synth-tab.oscillator-b	Oscillator B	prose survives the readout filter
html-text	index.html	1064	div.wt-drop-overlay		LABEL	no	canvaswrapb.drop-wav	Drop WAV	prose survives the readout filter
html-text	index.html	1068	span.dropdown-label		LABEL	no	synth-tab.shape-2	Shape	prose survives the readout filter
html-text	index.html	1071	option		LABEL	no	select-oscbtable.saw	Saw	prose survives the readout filter
html-text	index.html	1071	option		LABEL	no	select-oscbtable.square	Square	prose survives the readout filter
html-text	index.html	1071	option		LABEL	no	select-oscbtable.triangle	Triangle	prose survives the readout filter
html-text	index.html	1071	option		LABEL	no	select-oscbtable.sine	Sine	prose survives the readout filter
html-text	index.html	1072	option		LABEL	no	select-oscbtable.pwm-sweep	PWM Sweep	prose survives the readout filter
html-text	index.html	1072	option		LABEL	no	select-oscbtable.supersaw	Supersaw	prose survives the readout filter
html-text	index.html	1072	option		LABEL	no	select-oscbtable.sync-sweep	Sync Sweep	prose survives the readout filter
html-text	index.html	1075	option		LABEL	no	select-oscbtable.fm-e-piano	FM E.Piano	prose survives the readout filter
html-text	index.html	1075	option		LABEL	no	select-oscbtable.fm-bell	FM Bell	prose survives the readout filter
html-text	index.html	1075	option		LABEL	no	select-oscbtable.fm-metallic	FM Metallic	prose survives the readout filter
html-text	index.html	1076	option		LABEL	no	select-oscbtable.wavefold	Wavefold	prose survives the readout filter
html-text	index.html	1076	option		LABEL	no	select-oscbtable.bitcrush	Bitcrush	prose survives the readout filter
html-text	index.html	1079	option		LABEL	no	select-oscbtable.vowel-morph	Vowel Morph	prose survives the readout filter
html-text	index.html	1079	option		LABEL	no	select-oscbtable.choir-pad	Choir Pad	prose survives the readout filter
html-text	index.html	1080	option		LABEL	no	select-oscbtable.vocal-lead	Vocal Lead	prose survives the readout filter
html-text	index.html	1080	option		LABEL	no	select-oscbtable.formant-filter	Formant Filter	prose survives the readout filter
html-text	index.html	1083	option		LABEL	no	select-oscbtable.harmonic-series	Harmonic Series	prose survives the readout filter
html-text	index.html	1083	option		LABEL	no	select-oscbtable.spectral-tilt	Spectral Tilt	prose survives the readout filter
html-text	index.html	1084	option		LABEL	no	select-oscbtable.odd-harmonics	Odd Harmonics	prose survives the readout filter
html-text	index.html	1084	option		LABEL	no	select-oscbtable.harmonic-stretch	Harmonic Stretch	prose survives the readout filter
