# plugin	O-Prism
# params	173
# note	defaultNorm is NORMALISED 0..1; numSteps 2147483647 means continuous
#id	name	label	numSteps	textAtMin	textAtMax	defaultNorm	defaultText	flags
oscATable	Osc A Wavetable		28	0	27	0.000000	0	automatable
oscAPos	Osc A Position		2147483647	0.000	1.000	0.000000	0.000	automatable
oscALevel	Osc A Level		2147483647	0.000	1.000	0.800000	0.800	automatable
oscAPan	Osc A Pan		2147483647	-1.00	1.00	0.500000	-0.00	automatable
oscACoarse	Osc A Coarse		49	-24	24	0.500000	0	automatable
oscAFine	Osc A Fine		2147483647	-100.0	100.0	0.500000	0.0	automatable
oscAPhase	Osc A Phase		2147483647	0.000	1.000	0.000000	0.000	automatable
oscAUnison	Osc A Unison		8	1	8	0.000000	1	automatable
oscADetune	Osc A Detune		2147483647	0.000	1.000	0.200000	0.200	automatable
oscAWidth	Osc A Width		2147483647	0.000	1.000	0.500000	0.500	automatable
oscAWarpType	Osc A Warp Type		5	Off	Window	0.000000	Off	automatable,discrete
oscAWarpAmt	Osc A Warp Amount		2147483647	0.000	1.000	0.000000	0.000	automatable
oscBTable	Osc B Wavetable		28	0	27	0.000000	0	automatable
oscBPos	Osc B Position		2147483647	0.000	1.000	0.000000	0.000	automatable
oscBLevel	Osc B Level		2147483647	0.000	1.000	0.000000	0.000	automatable
oscBPan	Osc B Pan		2147483647	-1.00	1.00	0.500000	-0.00	automatable
oscBCoarse	Osc B Coarse		49	-24	24	0.500000	0	automatable
oscBFine	Osc B Fine		2147483647	-100.0	100.0	0.500000	0.0	automatable
oscBPhase	Osc B Phase		2147483647	0.000	1.000	0.000000	0.000	automatable
oscBUnison	Osc B Unison		8	1	8	0.000000	1	automatable
oscBDetune	Osc B Detune		2147483647	0.000	1.000	0.200000	0.200	automatable
oscBWidth	Osc B Width		2147483647	0.000	1.000	0.500000	0.500	automatable
oscBWarpType	Osc B Warp Type		5	Off	Window	0.000000	Off	automatable,discrete
oscBWarpAmt	Osc B Warp Amount		2147483647	0.000	1.000	0.000000	0.000	automatable
subShape	Sub Shape		4	Sine	Square	0.000000	Sine	automatable,discrete
subOctave	Sub Octave		4	-1 Oct	-4 Oct	0.000000	-1 Oct	automatable,discrete
subLevel	Sub Level		2147483647	0.000	1.000	0.000000	0.000	automatable
noiseType	Noise Type		6	White	Wind	0.000000	White	automatable,discrete
noiseLevel	Noise Level		2147483647	0.000	1.000	0.000000	0.000	automatable
subRouting	Sub Routing		2	Post-Filter	Pre-Filter	0.000000	Post-Filter	automatable,discrete
ampAttack	Amp Attack		2147483647	0.001	10.000	0.085901	0.010	automatable
ampDecay	Amp Decay		2147483647	0.001	10.000	0.292752	0.300	automatable
ampSustain	Amp Sustain		2147483647	0.000	1.000	0.700000	0.700	automatable
ampRelease	Amp Release		2147483647	0.001	20.000	0.330467	0.500	automatable
filtAttack	Filter Attack		2147483647	0.001	10.000	0.085901	0.010	automatable
filtDecay	Filter Decay		2147483647	0.001	10.000	0.350228	0.500	automatable
filtSustain	Filter Sustain		2147483647	0.000	1.000	0.500000	0.500	automatable
filtRelease	Filter Release		2147483647	0.001	20.000	0.330467	0.500	automatable
filtAEnvDepth	Filter A Env Depth		2147483647	-1.00	1.00	0.500000	-0.00	automatable
filtBEnvDepth	Filter B Env Depth		2147483647	-1.00	1.00	0.500000	-0.00	automatable
filtAType	Filter A Type		7	LP12	Notch	0.166667	LP24	automatable,discrete
filtACutoff	Filter A Cutoff		2147483647	20.0	20000.0	1.000000	20000.0	automatable
filtARes	Filter A Resonance		2147483647	0.000	1.000	0.000000	0.000	automatable
filtADrive	Filter A Drive		2147483647	0.000	1.000	0.000000	0.000	automatable
filtAKeyTrack	Filter A KeyTrack		2147483647	0.000	1.000	0.000000	0.000	automatable
filtBType	Filter B Type		7	LP12	Notch	0.166667	LP24	automatable,discrete
filtBCutoff	Filter B Cutoff		2147483647	20.0	20000.0	1.000000	20000.0	automatable
