# plugin	O-Reed
# uiRoot	Resources/ui
# generated	2026-08-29T18:11:49.181Z
# NOTE	class is a SUGGESTION WITH A REASON, never a silent drop. Read every UNSURE and every DELETE row.
# source	file	line	selector	attr	class	keyed	suggestedKey	text	reason
html-text	index.html	571	span.plugin-name		LABEL	no	plugin-name.o-reed	O-Reed	prose survives the readout filter
html-text	index.html	572	button.tab-btn.active		LABEL	no	tab-btn.instrument	Instrument	prose survives the readout filter
html-text	index.html	573	button.tab-btn		LABEL	no	tab-btn.tuning	Tuning	prose survives the readout filter
html-text	index.html	574	button.tab-btn		LABEL	no	tab-btn.fx	FX	prose survives the readout filter
html-text	index.html	575	span.brand-label		LABEL	no	brand-label.ouaricon	Ouaricon	prose survives the readout filter
html-text	index.html	589	div.xy-pad-label		LABEL	no	tab-instrument.instrument-morphing	Instrument Morphing	prose survives the readout filter
html-text	index.html	592	span.xy-axis-label.xy-axis-x		LABEL	no	xy-pad.bore-character	Bore Character	prose survives the readout filter
html-text	index.html	593	span.xy-axis-label.xy-axis-y		LABEL	no	xy-pad.double-reed	Double Reed	prose survives the readout filter
html-text	index.html	600	div.dropdown-label		LABEL	no	tab-instrument.instrument-preset	Instrument Preset	prose survives the readout filter
html-text	index.html	604	div.xy-val-item		UNSURE	no	tab-instrument.bore	Bore:	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	605	div.xy-val-item		UNSURE	no	tab-instrument.reed	Reed:	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	615	span.section-title		LABEL	no	tab-instrument.primary-controls	Primary Controls	prose survives the readout filter
html-text	index.html	621	div.knob-label		LABEL	no	tab-instrument.breath	Breath	prose survives the readout filter
html-text	index.html	626	div.knob-label		LABEL	no	tab-instrument.embouchure	Embouchure	prose survives the readout filter
html-text	index.html	631	div.knob-label		LABEL	no	tab-instrument.reed-hard	Reed Hard.	prose survives the readout filter
html-text	index.html	636	div.knob-label		LABEL	no	tab-instrument.output	Output	prose survives the readout filter
html-text	index.html	637	div.knob-value		READOUT	no	tab-instrument.0-0-db	0.0 dB	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
